question,answer
"What is Python?","Python is a high-level, interpreted programming language."
"What is a variable?","A variable is used to store data in a Python program."
"What is a data type?","A data type defines the type of value stored in a variable."
"What is a string?","A string is a sequence of characters enclosed in quotes."
"What is an integer?","An integer is a whole number without a decimal point."
"What is a float?","A float is a number that contains a decimal point."
"What is a list?","A list is an ordered and mutable collection of items."
"What is a tuple?","A tuple is an ordered and immutable collection of items."
"What is a set?","A set is an unordered collection of unique elements."
"What is a dictionary?","A dictionary stores data in key-value pairs."
"What is a function?","A function is a reusable block of code that performs a specific task."
"What is a loop?","A loop is used to repeat a block of code."
"What is a for loop?","A for loop is used to iterate over a sequence."
"What is a while loop?","A while loop repeatedly executes code while a condition is true."
"What is a class?","A class is a blueprint for creating objects."
"What is an object?","An object is an instance of a class."
"What is inheritance?","Inheritance allows one class to use properties and methods of another class."
"What is exception handling?","Exception handling is used to handle runtime errors."
"What is machine learning?","Machine learning is a method where computers learn patterns from data."
"What is an algorithm?","An algorithm is a step-by-step procedure used to solve a problem."
